,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
1159,HP 파빌리온 15-ec2124ax,"1,249,000원",HP,파빌리온,별점4.8 / 5,39.62cm(15.6인치),1.98kg,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8GB,라이젠7-5800H,지포스 RTX3050
1160,MSI Sword GF66 A11UD 화이트,"1,117,950원",MSI,MSI,별점4.8 / 5,null,2.25kg,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-11800H,지포스 RTX3050 Ti
1161,ASUS UX481FL-BM063T,"2,300,000원",ASUS,-,별점4.7 / 5,35.56cm(14인치),1.5kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-10510U,UHD Graphics
1162,LG전자 그램17 17Z95N-OA56K,"1,699,990원",LG전자,그램17,별점4.9 / 5,null,1.35kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),그램17,코어i5-1135G7,Iris Xe Graphics
1163,레노버 Slim3 17ITL 5D,"675,990원",레노버,레노버,별점4.8 / 5,null,2.1kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
1164,레노버 리전 5 17ACH R7 3060 W11H,"1,419,000원",레노버,리전,별점5.0 / 5,43.94cm(17.3인치),2.9kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,라이젠7-5800H,RTX3060
1165,TG삼보 노브랜드 NP43C0,"269,000원",TG삼보,TG삼보,별점4.3 / 5,35.56cm(14인치),1.47kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4GB,셀러론-N3450,GMA HD 500
1166,LG전자 15ZB95N-GP50ML,"1,523,000원",LG전자,-,-,39.62cm(15.6인치),1.12kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),그램15,코어i5-1135G7,Iris Xe Graphics
1167,삼성전자 노트북9 ALWAYS NT900X3T-K58A,"1,475,940원",삼성전자,노트북9 ALWAYS,별점5.0 / 5,33.78cm(13.3인치),null,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),null,1.6GHz,1.6GHz
1168,LG전자 울트라PC 15U50P-GA5NK,"999,000원",LG전자,울트라PC,별점4.9 / 5,39.62cm(15.6인치),1.8kg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,UHD Graphics
1169,삼성전자 노트북PEN NT930QAA-K716,"1,976,910원",삼성전자,노트북PEN,별점4.6 / 5,null,0.99kg,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-8550U,UHD620
1170,LG전자 그램15 15ZD90P-HX56K,"1,458,990원",LG전자,그램15,별점4.9 / 5,null,1.12kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),그램15,코어i5-1135G7,Iris Xe Graphics
1171,LG전자 그램17 17ZD990-VX7BK,"1,748,400원",LG전자,그램17,별점4.8 / 5,null,1.34kg,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2560x1600(WQXGA),그램17,코어i7-8565U,UHD620
1172,LG전자 울트라PC 15UD490-GX76K,"837,140원",LG전자,울트라PC,별점4.8 / 5,null,1.89kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,라이젠7-2700U,라데온 RX Vega 10
1173,기가바이트 어로스 17G KD,"1,567,000원",기가바이트,어로스,별점5.0 / 5,43.94cm(17.3인치),2.7kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-11800H,UHD Graphics
1174,ASUS UX8402ZE-M3144W,"3,049,000원",ASUS,-,별점4.8 / 5,36.8cm(14.5인치),1.75kg,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2880x1800(WQXGA),32GB,코어i9-12900H,Iris Xe Graphics
1175,HP 엘리트북 850 G8 1G1Y0AV PRO,"1,395,830원",HP,엘리트북,-,39.62cm(15.6인치),1.69kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i7-1165G7,Iris Xe Graphics
1176,LG전자 그램360 16T90P-OA70K,"1,900,000원",LG전자,그램360,별점4.9 / 5,null,1.48kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),그램360,코어i7-1165G7,Iris Xe Graphics
1177,삼성전자 노트북5 NEW NT500R5W-XD7S,"1,086,810원",삼성전자,노트북5 NEW,-,39.62cm(15.6인치),1.85kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i7-7500U,지포스 940MX
1178,주연테크 슈퍼플라이 블랙 J9FT,"779,250원",주연테크,주연테크,별점4.8 / 5,null,1.12kg,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,코어i5-1135G7,Iris Xe Graphics
1179,레노버 아이디어패드 Slim3-15ITL 5DS2,"619,000원",레노버,아이디어패드,별점4.8 / 5,39.62cm(15.6인치),1.65kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,코어i5-1135G7,Iris Xe Graphics
1180,ASUS 젠북 UM325SA-KG084,"1,030,440원",ASUS,젠북,별점4.9 / 5,33.78cm(13.3인치),1.14kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,라이젠5-5600U,라데온 Graphics
1181,LG전자 그램17 17Z90Q-GR5JK,"1,766,000원",LG전자,그램17,-,43.18cm(17인치),1.35kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),그램17,코어i5-1240P,Iris Xe Graphics
1182,한성컴퓨터 TFX5470UC,"1,731,250원",한성컴퓨터,한성컴퓨터,별점4.7 / 5,null,1.6kg,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,라이젠7-4700U,라데온 Graphics
1183,삼성전자 노트북5 NT551EAA-KOW/C,"599,000원",삼성전자,노트북5,-,null,1.9kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,4GB,4415U,GMA HD 610
1184,레노버 요가 Slim7 ProX 14ARH7 82TL003WKR,"1,859,000원",레노버,요가,별점5.0 / 5,36.8cm(14.5인치),1.45kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3072x1920,32GB,라이젠7-6800HS,지포스 RTX3050
