,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
178,LG전자 그램360 16TD90Q-GX70K,"1,969,000원",LG전자,그램360,별점4.9 / 5,40.6cm(16인치),1.48kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,i7-1260P,Iris Xe Graphics
179,레노버 씽크북 16 Gen4+ ARA 21D1000YKR,"899,000원",레노버,씽크북,별점4.9 / 5,40.64cm(16인치),1.8kg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16GB,6600U,라데온 660M
180,레노버 리전 5 17ACH R7 3060,"1,319,000원",레노버,리전,별점4.8 / 5,43.94cm(17.3인치),2.9kg,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8GB,5800H,RTX3060
181,LG전자 그램14 14ZD995-LX20K,"684,380원",LG전자,그램14,별점4.7 / 5,35.5cm(14인치),0.995,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8GB,G6405U,UHD Graphics
182,삼성전자 노트북 플러스2 NT550XDA-K24AG,"597,690원",삼성전자,노트북 플러스2,별점4.8 / 5,39.62cm(15.6인치),1.81kg,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1920x1080(FHD),4GB,7505,UHD Graphics
183,LG전자 LG그램 15Z90Q-GA56K,"1,698,990원",LG전자,LG그램,별점4.9 / 5,39.62cm(15.6인치),1.14kg,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1920x1080(FHD),16GB,i5-1240P,Iris Xe Graphics
184,삼성전자 갤럭시북 NT750XDA-XL52U,"1,197,990원",삼성전자,갤럭시북,별점5.0 / 5,39.62cm(15.6인치),1.59kg,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i5-1135G7,Iris Xe Graphics
185,ASUS TUF DASH F15 FX517ZR-HQ009,"1,938,740원",ASUS,TUF,별점4.8 / 5,39.62cm(15.6인치),2kg,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2560x1440(QHD),16GB,i7-12650H,UHD Graphics
186,LG전자 LG그램 15Z90Q-GA76K,"1,899,000원",LG전자,LG그램,별점5.0 / 5,39.62cm(15.6인치),"1,140g",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16GB,i7-1260P,Iris Xe Graphics
187,LG전자 그램360 14T90Q-GA79K,"2,089,000원",LG전자,그램360,별점4.9 / 5,35.6cm(14인치),1.23kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16GB,i7-1260P,Iris Xe Graphics
