,상품명,최저가,제조사,브랜드,평점,화면크기,무게,화면추천,무게추천,디자인추천,색상추천,소음추천,사용성추천,발열추천,해상도,램,CPU,GPU
536,LG전자 그램14 14Z90N-EB36K,1134000.0,LG전자,그램14,별점4.8 / 5,14.0,999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),4096,i3-1005G1,integrated graphics
537,LG전자 LG그램 16Z95P-GR5BK,1306340.0,LG전자,LG그램,별점4.8 / 5,16.0,1190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),8192,i5-1155G7,integrated graphics
538,LG전자 그램15 15Z995-VR50K,1458800.0,LG전자,그램15,별점4.8 / 5,15.6,1090,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-10210U,integrated graphics
539,삼성전자 갤럭시북2 프로 NT950XEE-XC58S,1509240.0,삼성전자,갤럭시북2 프로,-,15.6,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1240P,Intel Arc A350M
540,삼성전자 갤럭시북 플렉스2 NT950QDA-XC71B,2063990.0,삼성전자,갤럭시북 플렉스2,별점4.8 / 5,15.6,1570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,MX450
541,LG전자 그램360 14T90P-GR5GK,1497800.0,LG전자,그램360,별점5.0 / 5,14.0,1250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),8192,i5-1135G7,integrated graphics
542,삼성전자 갤럭시북 프로 NT950XDC-XC71S,1714540.0,삼성전자,갤럭시북 프로,별점4.7 / 5,15.6,1150,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,integrated graphics
543,LG전자 그램360 14T90P-OA70K,1499100.0,LG전자,그램360,별점5.0 / 5,14.0,1250,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),16384,i7-1165G7,integrated graphics
544,HP 엘리트북 655 G9-682C7PA,799000.0,HP,엘리트북,별점5.0 / 5,15.6,1740,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8192,5625U,integrated graphics
545,DELL XPS 15 9520-WP05KR,3349000.0,DELL,XPS,별점4.6 / 5,15.6,1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3840x2400(4K UHD),16384,i7-12700H,RTX3050 Ti
546,삼성전자 갤럭시북 프로 NT950XDB-KD72S,1789990.0,삼성전자,갤럭시북 프로,별점5.0 / 5,15.6,1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920x1080(FHD),16384,i7-1165G7,integrated graphics
547,ASUS X415EA-EB029,619000.0,ASUS,ASUS,별점4.8 / 5,14.0,1550,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1920x1080(FHD),8192,i5-1135G7,integrated graphics
548,LG전자 울트라PC 엣지 14UD70Q-GX30K,749000.0,LG전자,울트라PC 엣지,별점5.0 / 5,14.0,1290,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1920x1200(WUXGA),8192,5300U,integrated graphics
549,HP 16-E0147AX,1289000.0,HP,HP,별점4.6 / 5,16.1,2370,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1920x1080(FHD),8192,5800H,RTX3060
550,LG전자 그램360 16T90Q-GA70K,2119010.0,LG전자,그램360,별점4.9 / 5,16.0,1480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2560x1600(WQXGA),16384,i7-1260P,integrated graphics
551,Apple 맥북 프로 16형 2019년형 1T 스페이스 그레이 (MVVK2KH/A),3599990.0,Apple,Apple,별점4.7 / 5,16.1,2000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3072x1920,16384,i9-9980HK,integrated graphics
552,ASUS ROG 제피러스 G14 GA402RJ-L8126,1891990.0,ASUS,ROG,별점4.8 / 5,14.0,1650,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2560x1600(WQXGA),16384,6900HS,integrated graphics
